type,front_or_cloze_text,back_or_extra,domain,task_statement,priority,card_class,reference
basic,Why does routing all subagent communication through the coordinator matter for system reliability?,"It ensures observability, consistent error handling, and controlled information flow; the coordinator can contain a failing subagent instead of letting failures cascade between peers.",D1,1.2,normal,discrimination,Guide §6 TS1.2 · EP03
basic,"List the coordinator's five core responsibilities, in order.","Decompose, delegate, aggregate, evaluate, respond.",D1,1.2,normal,definition,Guide §6 TS1.2 · Part 3
basic,"Why does the coordinator's ""evaluate"" step matter before it responds to the user?","It checks whether the aggregated results are complete; if there are gaps, the coordinator re-delegates rather than delivering incomplete work.",D1,1.2,normal,discrimination,Guide §6 TS1.2 · Part 3
basic,What is an iterative refinement loop in coordinator design?,"The coordinator evaluates synthesis output for gaps, re-delegates to search or analysis subagents with targeted queries, and re-invokes synthesis until coverage is sufficient.",D1,1.2,normal,mechanism,Guide §6 TS1.2 · EP03
basic,Why should a coordinator dynamically select which subagents to invoke rather than always running the full pipeline?,Simple queries don't need every subagent; always running the full pipeline wastes cost and latency on requests that don't require it.,D1,1.2,normal,discrimination,Guide §6 TS1.2 · EP03 · Part 3
basic,What risk arises when a coordinator decomposes a broad research topic too narrowly?,Incomplete coverage — whole dimensions of the topic can be missed even though every subagent executes its assigned narrow subtask correctly.,D1,1.2,normal,discrimination,Guide §6 TS1.2 · EP03
basic,How should a coordinator partition research scope across subagents to minimize duplication?,By assigning distinct subtopics or source types to each subagent rather than giving them overlapping assignments.,D1,1.2,normal,mechanism,Guide §6 TS1.2 · EP03
basic,"In the ""impact of AI on creative industries"" scenario, why were music, writing, and film missing from the final report even though every subagent worked correctly?",The coordinator's task decomposition itself was too narrow — it only created visual-arts subtasks — not a failure of any downstream subagent.,D1,1.2,normal,discrimination,Guide §6 TS1.2 · sample questions
basic,"When a subagent fails or times out, what should it return to the coordinator to enable intelligent recovery?","Structured error context: the failure type, the attempted query or action, any partial results, and potential alternative approaches.",D1,1.2,normal,mechanism,Guide §6 TS1.2 · sample questions
basic,"Why is it wrong for a subagent to catch a timeout and return an empty result marked as ""successful""?","It suppresses the failure, preventing the coordinator from attempting recovery and risking an incomplete result being treated as complete.",D1,1.2,normal,antipattern,Guide §6 TS1.2 · sample questions
basic,What SDK tool does a coordinator use to spawn a subagent?,The Task tool.,D1,1.3,normal,mechanism,Guide §6 TS1.3 · EP03 · Part 3
basic,What must be true of a coordinator's allowedTools list for it to invoke subagents?,"It must explicitly include ""Task"" (task), or the SDK rejects the delegation call.",D1,1.3,normal,trigger,Guide §6 TS1.3 · EP03 · Part 4
basic,What five fields make up an agent definition (AgentDefinition)?,"name, description, system prompt, tools, and allowed tools.",D1,1.3,normal,definition,Guide §6 TS1.3 · Part 4 · Part 5
basic,Why doesn't a subagent automatically see the coordinator's conversation history?,"Subagents start with isolated, blank context; they only receive their own system prompt plus whatever is explicitly included in the prompt the coordinator sends them.",D1,1.3,normal,discrimination,Guide §6 TS1.3 · EP03 · Part 3
basic,What must a coordinator do to let a synthesis subagent cite its sources accurately?,"Pass the complete findings (not summaries) along with structured metadata such as source URLs, document names, and page numbers, keeping content bound to its metadata.",D1,1.3,normal,mechanism,Guide §6 TS1.3 · EP03
basic,How does a coordinator spawn multiple subagents to run in parallel?,"By emitting multiple Task tool calls within a single response/turn, rather than issuing them across separate turns.",D1,1.3,normal,trigger,Guide §6 TS1.3 · EP03 · Part 4
basic,Why should a coordinator specify research goals and quality criteria rather than step-by-step procedures in a subagent's prompt?,"Goal-oriented instructions let the subagent adapt to unexpected findings or obstacles, whereas procedural micromanagement forces a rigid tool sequence.",D1,1.3,normal,discrimination,Guide §6 TS1.3 · EP03 · Part 4
basic,What is fork_session used for?,"Creating an independent branch of a session from a shared analysis baseline to explore a divergent approach, without affecting the original.",D1,1.3,normal,definition,Guide §6 TS1.3 · EP03 · EP04
basic,Why is it wrong to assume a subagent inherits shared memory between separate invocations?,Subagents don't share memory between invocations; each one starts fresh and needs its context explicitly provided in its prompt.,D1,1.3,normal,discrimination,Guide §6 TS1.3 · Part 3
basic,"What is the ""minimum tools principle"" for subagent configuration?","Give each subagent only the tools it needs for its specific job, not the full toolset, to reduce misrouting, security risk, and wasted tokens.",D1,1.3,normal,mechanism,Guide §6 TS1.3 · Part 4
basic,What's wrong with dumping the entire conversation history into a subagent's prompt instead of extracting relevant context?,"It's context dumping — it wastes tokens and attention on irrelevant history instead of the focused, structured signal the subagent actually needs.",D1,1.3,normal,antipattern,Guide §6 TS1.3 · Part 4
cloze,"A robust subagent task prompt should include a clear goal, structured metadata (source, date, confidence), explicit {{c1::negative constraints}} (what the agent must not do), and a format specification.",,D1,1.3,normal,mechanism,Guide §6 TS1.3 · Part 4
basic,What does a PostToolUse hook do?,"It intercepts a tool's raw result after the tool runs but before the model sees it, so the result can be transformed or normalized.",D1,1.5,normal,definition,Guide §6 TS1.5 · EP04 · Part 6
basic,What does a PreToolUse hook do?,"It intercepts an outgoing tool call before it executes, so it can evaluate the parameters and block or redirect the call.",D1,1.5,normal,definition,Guide §6 TS1.5 · EP04 · Part 6
basic,Give an example of heterogeneous data a PostToolUse hook might normalize.,"Unix timestamps, ISO 8601 date strings, and numeric vs. string status codes returned by different MCP tools, unified into one consistent shape.",D1,1.5,normal,mechanism,Guide §6 TS1.5 · Part 6
basic,"Why choose a hook over a prompt instruction to enforce ""block refunds over $500""?","A hook is deterministic code that runs on every call, so the constraint holds regardless of model behaviour. A prompt instruction is probabilistic and has a non-zero failure rate.",D1,1.5,normal,discrimination,"Guide §6 TS1.4, TS1.5 · EP04 · Part 6"
basic,"When a PreToolUse hook blocks a tool call, what must it also provide?","A clear denial reason and an alternative path (e.g., redirect to a human-escalation tool), so the agent doesn't get stuck retrying.",D1,1.5,normal,trigger,Guide §6 TS1.5 · Part 6
basic,Why should hooks avoid network calls or other side effects?,"They run inline in the tool-call loop, so keeping them fast and pure avoids adding significant latency or unpredictable behavior to every tool call.",D1,1.5,normal,discrimination,Guide §6 TS1.5 · Part 6
basic,Why is silently modifying tool data inside a hook without logging a bad practice?,"Unlogged transformations make debugging impossible, since no one can trace what the hook changed.",D1,1.5,normal,antipattern,Guide §6 TS1.5 · Part 6
basic,At what point in the tool-call cycle does a PostToolUse hook run relative to a PreToolUse hook?,PreToolUse runs before a tool executes; PostToolUse runs after the tool returns data but before Claude processes it.,D1,1.5,normal,mechanism,Guide §6 TS1.5 · EP04 · Part 6
basic,Why is using a code hook to enforce a friendly conversational tone a poor design choice?,"Tone is a soft preference where occasional prompt failure is acceptable; hooks add latency and complexity that should be reserved for hard, guaranteed rules.",D1,1.5,normal,discrimination,Guide §6 TS1.5 · Part 6
cloze,"When the exam asks how to ""guarantee"" or ""ensure"" compliance with a business rule, the correct architectural answer is {{c1::hooks}}, not prompt instructions.",,D1,1.5,normal,mechanism,Guide §6 TS1.5 · Part 6
basic,What is prompt chaining as a task-decomposition strategy?,"A fixed, sequential pipeline whose steps are all defined up front, where each step's output feeds directly into the next.",D1,1.6,normal,definition,Guide §6 TS1.6 · EP04 · Part 7
basic,What is dynamic decomposition as a task-decomposition strategy?,"An approach where the plan's scope and subtasks are generated adaptively based on what is discovered at each step, rather than fixed in advance.",D1,1.6,normal,definition,Guide §6 TS1.6 · EP04 · Part 7
basic,When should you choose prompt chaining over dynamic decomposition?,"For predictable, structured, repeatable multi-aspect tasks whose steps are known in advance, e.g. a standard multi-file code review.",D1,1.6,normal,trigger,Guide §6 TS1.6 · Part 7
basic,When should you choose dynamic decomposition over prompt chaining?,"For open-ended, exploratory tasks whose full scope can't be predicted up front and where later steps depend on what's discovered, e.g. adding tests to an unfamiliar legacy codebase.",D1,1.6,normal,trigger,Guide §6 TS1.6 · Part 7
basic,"In a multi-file code review, why run per-file analysis passes instead of sending all files in one prompt?","To avoid attention dilution (the lost-in-the-middle effect), where the model gives a shallower pass to content buried in the middle of a long context.",D1,1.6,normal,mechanism,Guide §6 TS1.6 · EP04 · Part 7
basic,"After per-file review passes, what additional pass is needed and why?","A separate cross-file integration pass, to catch issues that span multiple files (like API contract mismatches) that isolated per-file passes would miss.",D1,1.6,normal,mechanism,Guide §6 TS1.6 · EP04 · Part 7
basic,Why is skipping the cross-file integration pass an anti-pattern even if every per-file review is thorough?,"Per-file passes each see only one file in isolation, so they can't detect data-flow inconsistencies or contract mismatches between files.",D1,1.6,normal,antipattern,Guide §6 TS1.6 · Part 7
basic,Why is forcing an open-ended investigative task into a rigid fixed pipeline (prompt chaining) a design mistake?,"A fixed pipeline can't adapt when unexpected discoveries change what needs investigating next, unlike dynamic decomposition.",D1,1.6,normal,discrimination,Guide §6 TS1.6 · Part 7
basic,Why does dynamic decomposition typically cost more than prompt chaining?,"Its subtasks can multiply as new discoveries surface mid-run, whereas prompt chaining has a fixed, predictable step count.",D1,1.6,normal,discrimination,Guide §6 TS1.6 · Part 7
cloze,The {{c1::lost-in-the-middle}} effect describes how models process content at the beginning and end of a long input more reliably than content buried in the middle.,,D1,1.6,normal,definition,Guide §6 TS1.6 · Part 7
basic,What does --resume <session-name> do?,"Continues a specific named prior conversation, loading its full conversation history back into context.",D1,1.7,normal,mechanism,Guide §6 TS1.7 · Part 8
basic,When should you resume a session rather than start fresh?,When the prior context and tool results are still valid and the underlying code/data hasn't changed significantly.,D1,1.7,normal,trigger,Guide §6 TS1.7 · Part 8
basic,When is starting a new session with an injected summary preferable to resuming?,When the prior session's tool results are stale (e.g. underlying files changed) or its context window is nearly exhausted.,D1,1.7,normal,trigger,Guide §6 TS1.7 · EP04 · Part 8
basic,Why must you explicitly tell a resumed session about file changes made since it last ran?,"Otherwise the agent reasons from stale tool results already in its history, unaware the underlying files have since changed.",D1,1.7,normal,discrimination,Guide §6 TS1.7 · Part 8
basic,Why is starting a fresh session with a structured summary often more reliable than resuming with stale tool results?,"A stale resumed session carries outdated tool outputs that can actively mislead reasoning, while a clean summary conveys only validated findings without that baggage.",D1,1.7,normal,discrimination,Guide §6 TS1.7 · EP04 · Part 8
basic,"What is a risk of forking sessions for a simple, linear task?",It adds unnecessary operational complexity when there's no divergent path worth exploring in parallel.,D1,1.7,normal,antipattern,Guide §6 TS1.7 · Part 8
basic,"When resuming a session after a targeted file change, what should you ask the agent to do instead of re-exploring everything?","Re-read or re-analyze only the specific changed file(s), rather than requiring a full re-exploration of the codebase.",D1,1.7,normal,mechanism,Guide §6 TS1.7 · Part 8
basic,What are the only three components that make up the interface between Claude and an external tool?,"The tool's name, its description, and its input schema.",D2,2.1,high,mechanism,Guide §6 TS2.1 · Part 9
basic,Why is the tool description the single highest-leverage factor in tool selection reliability?,Claude never sees the tool's underlying code — the description is the only signal it uses to decide which tool to call.,D2,2.1,high,mechanism,Guide §6 TS2.1 · Part 9
basic,"A production agent misroutes 'check my order #12345' to get_customer instead of lookup_order, and both tools have minimal one-line descriptions. What is the most effective first fix?","Expand each tool's description to include input formats, example queries, edge cases, and explicit boundaries versus the similar tool.",D2,2.1,high,discrimination,Guide §9 Q2 · Part 9
basic,List the five elements a high-quality tool description should include.,"Purpose, input format (with examples), output description, when to use it, and boundary conditions (when not to use it).",D2,2.1,high,definition,Guide §6 TS2.1 · Part 9
basic,A tool named analyze_content and a system prompt instructing Claude to 'always analyze customer requests carefully' cause Claude to wrongly pick analyze_content for an unrelated order-status query. What is this failure called?,A system prompt keyword collision — wording in the system prompt accidentally biases tool selection toward a tool whose name shares that keyword.,D2,2.1,high,antipattern,Guide §6 TS2.1 · Part 9
basic,What is the fix for a system-prompt keyword collision that biases tool selection?,Audit the system prompt for words matching tool names and rename the tool to eliminate the accidental association.,D2,2.1,high,mechanism,Part 9
basic,What problem does splitting one generic multi-purpose tool into several purpose-specific tools solve?,"It removes the ambiguity of Claude having to guess which behavior a single generic tool should perform, giving each tool a distinct input/output contract.",D2,2.1,high,trigger,Part 9
basic,Name the three recommended tool-naming strategies and when each is best.,Action+Object (e.g. extract_data_points) for standard operations; Verb+Scope (e.g. search_web_articles) when action scope matters; Domain-Prefixed (e.g. billing_lookup_invoice) for large multi-domain tool catalogs.,D2,2.1,high,definition,Part 9
basic,List the five tool design anti-patterns tested for TS2.1.,"Minimal descriptions, overlapping descriptions, generic tool names, system-prompt keyword collisions, and missing boundary conditions.",D2,2.1,high,antipattern,Part 9
basic,"A developer productivity agent connected to GitHub, Jira, and Slack via MCP keeps posting to Slack instead of commenting on a pull request. What is the correct fix, and what two fixes are incorrect?","Correct: write detailed, unambiguous, namespaced tool descriptions. Incorrect: lowering temperature (only affects phrasing) or adding system-prompt instructions (fragile, rots as tools change).",D2,2.1,high,discrimination,EP05
basic,What tool-return design principle reduces wasted context window usage?,"Tools should return high-signal, concise information using stable identifiers (slugs/IDs) rather than dumping opaque internal debugging data.",D2,2.1,normal,mechanism,EP05
basic,What are the two core rules for optimizing tool selection when designing a tool catalog?,"Consolidate minor-variation tools into one tool with an action parameter, and namespace tool names by service (e.g. github-list_prs) when tools span multiple services.",D2,2.1,high,mechanism,EP05
cloze,"In JSON Schema tool definitions, every property should have its own {{c1::description}} specifying its purpose and expected format.",Per-parameter description requirement.,D2,2.1,normal,mechanism,EP05
basic,At what point should two semantically similar tools be split apart rather than consolidated?,When their responsibilities are distinct enough that a single description cannot clearly convey when to use each — overlapping descriptions cause misrouting rather than reducing tool count usefully.,D2,2.1,normal,trigger,Part 9 · EP05
basic,What are the two layers of the MCP structured error system?,"The signal layer (the isError flag, indicating something went wrong) and the decision layer (the structured error body, indicating what kind of wrong and what to do next).",D2,2.2,high,mechanism,Guide §6 TS2.2 · Part 10
basic,Name the four MCP error categories.,"Transient, validation, business, and permission.",D2,2.2,high,definition,Guide §6 TS2.2 · Part 10
basic,A tool call fails because a service timed out. Which error category applies and what should Claude do?,Transient — Claude should wait and retry.,D2,2.2,high,discrimination,Part 10
basic,A tool call fails because the order ID was submitted in an invalid format. Which error category applies and what should Claude do?,Validation — Claude should fix the input and retry.,D2,2.2,high,discrimination,Part 10
basic,A refund request fails because it exceeds the policy limit. Which error category applies and what should Claude do?,"Business — Claude should explain the issue to the user and not retry, since business rules don't change on the next attempt.",D2,2.2,high,discrimination,Part 10
basic,A tool call fails because the caller lacks authorization. Which error category applies and what should Claude do?,"Permission — Claude should escalate or inform the user, since retrying with the same credentials will never succeed.",D2,2.2,high,discrimination,Part 10
cloze,"The five essential structured error fields are {{c1::error_category}}, {{c2::is_retryable}}, message, customer_message, and suggestion.",Core structured error schema fields to memorize.,D2,2.2,high,definition,Guide §6 TS2.2 · Part 10
basic,A structured MCP error carries both a technical description and a customer-facing one. Why separate them?,"The technical text goes to logs and to the agent for diagnosis; the customer-facing text is safe to surface to an end user. Merging them either leaks internals or strips the detail the agent needs. (Field naming varies; the guide names errorCategory, isRetryable and a human-readable description.)",D2,2.2,high,discrimination,"Guide §6 TS2.2 · EP05 · Part 10 (field names are training-material convention, not guide text)"
basic,"Beyond a category and a retryable flag, what third thing should a structured MCP error give the agent?",A suggested next action — what to do instead — so the agent can recover rather than guess or halt.,D2,2.2,high,mechanism,Guide §6 TS2.2 · EP05 · Part 10
basic,Why must a database timeout return isError: true rather than an empty successful result?,An access failure (service down) is not the same as a valid empty result; returning isError:true with category transient lets Claude retry instead of wrongly telling the user nothing exists.,D2,2.2,high,discrimination,Guide §6 TS2.2 · Part 10
basic,A search query runs successfully but matches zero records. How should the tool respond?,"Return isError: false with an empty array/result — this is a valid empty result, a successful query with no matches.",D2,2.2,high,discrimination,Guide §6 TS2.2 · Part 10
basic,What should a subagent do with a transient error before escalating it to the coordinator?,Attempt local recovery — retry locally — before escalating; only propagate to the coordinator what could not be resolved locally.,D2,2.2,high,mechanism,Guide §6 TS2.2 · Part 10
basic,"When a subagent must escalate an unrecoverable error to the coordinator, what should the escalation report include?","Rich context: what was attempted (e.g. the query), any partial results obtained, and alternative approaches the coordinator could try.",D2,2.2,high,mechanism,Guide §6 TS2.2 · Part 10
basic,A web search subagent times out during research. What is the best error-propagation design to the coordinator?,"Return structured error context including failure type, the attempted query, any partial results, and potential alternative approaches — not a generic status, a silently 'successful' empty result, or a raw exception that kills the workflow.",D2,2.2,high,discrimination,Guide §9 Q8
basic,What specifically can an agent NOT do when a tool returns only the generic string 'Operation failed'?,"It cannot decide whether to retry, fix input, escalate, or explain to the user — it has no data on which decision to base its recovery.",D2,2.2,high,discrimination,Guide §6 TS2.2 · Part 10
basic,List the five MCP error-handling anti-patterns tested for TS2.2.,"Generic errors (no category/isRetryable/suggestion), returning empty results for actual failures, retrying business rule violations, escalating everything to the coordinator without local recovery, and omitting partial results/alternatives from escalation reports.",D2,2.2,high,antipattern,Part 10
basic,"In the meeting-room-booking analogy for structured errors, what makes 'Room A is booked until 3pm, Room B has a broken projector, Room C is free at 2pm' better than 'I couldn't'?","It gives the specific reason for each failure and concrete alternatives, letting the requester decide what to do next — exactly what a structured error body gives Claude.",D2,2.2,normal,mechanism,Part 10
cloze,An access failure (e.g. a database timeout) should be reported with {{c1::isError: true}} and error_category {{c2::transient}}.,Correct flag combination for a genuine access failure.,D2,2.2,high,mechanism,Part 10
cloze,A successful query that found no matching records should be reported with {{c1::isError: false}} and an empty result array.,Correct flag combination for a valid empty result.,D2,2.2,high,mechanism,Part 10
basic,What does the MCP isError flag pattern communicate at the protocol level?,"It is the standard mechanism MCP tools use to communicate that a tool call failed, distinguishing an error result from a normal success result.",D2,2.2,normal,definition,Guide §6 TS2.2 · Appendix
basic,What is the recommended sweet spot for the number of tools given to a single agent?,Four to five tools per agent.,D2,2.3,high,mechanism,Guide §6 TS2.3 · Part 11
basic,Why does giving an agent 18 tools instead of 4-5 degrade performance?,Each additional tool is another option Claude must evaluate; more options increase decision complexity and the likelihood of selecting the wrong tool.,D2,2.3,high,trigger,Guide §6 TS2.3 · Part 11
basic,What is the principle of least privilege as applied to agent tool access?,"Each agent should be given only the tools needed for its specific role, not the full catalog of available tools.",D2,2.3,high,definition,Guide §6 TS2.3 · Part 11
basic,Why do agents with tools outside their specialization tend to misuse them?,"An agent given off-role tools (e.g., a synthesis agent with web search) tends to reach for them inappropriately instead of staying within its intended role.",D2,2.3,high,trigger,Guide §6 TS2.3 · Part 11
basic,What is the 'cross-role tool' exception to scoped tool access?,"An agent may be given a narrowly scoped tool from another role's domain when that need is high-frequency (e.g., a verify_fact tool for a synthesis agent), while complex or low-frequency cases still route through the coordinator.",D2,2.3,high,definition,Guide §6 TS2.3 · Part 11
basic,A synthesis agent needs to verify facts during synthesis; 85% of these are simple lookups and 15% require deep investigation. What is the most effective tool distribution?,Give the synthesis agent a scoped verify_fact tool for simple lookups only; route complex verifications through the coordinator to the web search agent.,D2,2.3,high,discrimination,Guide §9 Q9
basic,"Every round trip through the coordinator for a simple cross-role fact-check adds how much overhead, per the training material's example?","About 2-3 extra steps, adding up to roughly 40% latency.",D2,2.3,normal,mechanism,Part 11
basic,Name the three tool_choice modes and what each guarantees.,"""auto"" — Claude may call a tool or return plain text; ""any"" — Claude must call some tool (any of them), never plain text; forced selection ({""type"":""tool"",""name"":""X""}) — Claude must call that specific named tool.",D2,2.3,high,mechanism,Guide §6 TS2.3 · Part 11
basic,"When should you use tool_choice: ""any""?",When structured output is strictly required and a plain-text conversational reply is unacceptable.,D2,2.3,high,trigger,Part 11
basic,"When should you use forced tool selection ({""type"":""tool"",""name"":""...""})?","To enforce ordered pipelines where a specific step must run first, e.g. forcing extract_metadata before enrichment tools can be called.",D2,2.3,high,trigger,Guide §6 TS2.3 · Part 11
basic,"What does tool_choice: ""auto"" guarantee, and what does it NOT guarantee?",It guarantees Claude may call a tool if it judges one is needed. It does NOT guarantee a tool call will happen — Claude can return plain text instead.,D2,2.3,high,discrimination,Part 11
